País de residencia;Tipo de dato;Año;Mes;Total
Países Nórdicos;Dato base;2019;10;562666
Portugal;Dato base;2019;10;174778
Reino Unido;Dato base;2019;10;1643636
Resto América;Dato base;2019;10;396760
Resto de Europa;Dato base;2019;10;598012
Resto del Mundo;Dato base;2019;10;532272
Rusia;Dato base;2019;10;104958
Suiza;Dato base;2019;10;210047
Alemania;Dato base;2019;11;569008
Bélgica;Dato base;2019;11;139559
Estados Unidos de América;Dato base;2019;11;217435
Francia;Dato base;2019;11;574259
Irlanda;Dato base;2019;11;94334
Italia;Dato base;2019;11;294195
Países Bajos;Dato base;2019;11;182139
Países Nórdicos;Dato base;2019;11;424650
Portugal;Dato base;2019;11;123350
Reino Unido;Dato base;2019;11;872392
Resto América;Dato base;2019;11;226741
Resto de Europa;Dato base;2019;11;383600
Resto del Mundo;Dato base;2019;11;408660
Rusia;Dato base;2019;11;53368
Suiza;Dato base;2019;11;91331
Alemania;Dato base;2019;12;495062
Bélgica;Dato base;2019;12;129864
Estados Unidos de América;Dato base;2019;12;174682
Francia;Dato base;2019;12;552553
Irlanda;Dato base;2019;12;83633
Italia;Dato base;2019;12;305220
Países Bajos;Dato base;2019;12;163930
Países Nórdicos;Dato base;2019;12;364141
Portugal;Dato base;2019;12;136294
Reino Unido;Dato base;2019;12;786044
Resto América;Dato base;2019;12;236741
Resto de Europa;Dato base;2019;12;346405
Resto del Mundo;Dato base;2019;12;388502
Rusia;Dato base;2019;12;52703
Suiza;Dato base;2019;12;88968
Alemania;Dato base;2020;1;493713
Bélgica;Dato base;2020;1;118701
Estados Unidos de América;Dato base;2020;1;142008
Francia;Dato base;2020;1;481062
Irlanda;Dato base;2020;1;85670
Italia;Dato base;2020;1;235011
Países Bajos;Dato base;2020;1;162843
Países Nórdicos;Dato base;2020;1;340509
Portugal;Dato base;2020;1;129995
Reino Unido;Dato base;2020;1;714288
Resto América;Dato base;2020;1;303966
Resto de Europa;Dato base;2020;1;365070
Resto del Mundo;Dato base;2020;1;420136
Rusia;Dato base;2020;1;63712
Suiza;Dato base;2020;1;76339
Alemania;Dato base;2020;2;533079
Bélgica;Dato base;2020;2;133042
Estados Unidos de América;Dato base;2020;2;124813
Francia;Dato base;2020;2;592609
Irlanda;Dato base;2020;2;96119
Italia;Dato base;2020;2;255313
Países Bajos;Dato base;2020;2;195975
Países Nórdicos;Dato base;2020;2;396370
Portugal;Dato base;2020;2;181813
Reino Unido;Dato base;2020;2;888521
Resto América;Dato base;2020;2;239018
Resto de Europa;Dato base;2020;2;372725
Resto del Mundo;Dato base;2020;2;286181
Rusia;Dato base;2020;2;46340
Suiza;Dato base;2020;2;85426
Alemania;Dato base;2020;3;273067
Bélgica;Dato base;2020;3;65045
Estados Unidos de América;Dato base;2020;3;78643
Francia;Dato base;2020;3;286821
Irlanda;Dato base;2020;3;38104
Italia;Dato base;2020;3;62417
Países Bajos;Dato base;2020;3;95360
Países Nórdicos;Dato base;2020;3;166244
Portugal;Dato base;2020;3;68710
Reino Unido;Dato base;2020;3;399515
