País de residencia;Tipo de dato;Año;Mes;Total
Resto América;Dato base;2022;12;234845
Resto de Europa;Dato base;2022;12;404824
Resto del Mundo;Dato base;2022;12;192590
Rusia;Dato base;2022;12;
Suiza;Dato base;2022;12;75126
Alemania;Dato base;2023;1;479860
Bélgica;Dato base;2023;1;135932
Estados Unidos de América;Dato base;2023;1;139794
Francia;Dato base;2023;1;484456
Irlanda;Dato base;2023;1;115585
Italia;Dato base;2023;1;280836
Países Bajos;Dato base;2023;1;204528
Países Nórdicos;Dato base;2023;1;343262
Portugal;Dato base;2023;1;140387
Reino Unido;Dato base;2023;1;742154
Resto América;Dato base;2023;1;286717
Resto de Europa;Dato base;2023;1;478368
Resto del Mundo;Dato base;2023;1;218375
Rusia;Dato base;2023;1;
Suiza;Dato base;2023;1;84740
Alemania;Dato base;2023;2;532120
Bélgica;Dato base;2023;2;119766
Estados Unidos de América;Dato base;2023;2;132520
Francia;Dato base;2023;2;628078
Irlanda;Dato base;2023;2;110658
Italia;Dato base;2023;2;238635
Países Bajos;Dato base;2023;2;183275
Países Nórdicos;Dato base;2023;2;332516
Portugal;Dato base;2023;2;166181
Reino Unido;Dato base;2023;2;781118
Resto América;Dato base;2023;2;239448
Resto de Europa;Dato base;2023;2;500940
Resto del Mundo;Dato base;2023;2;254059
Rusia;Dato base;2023;2;
Suiza;Dato base;2023;2;101351
Alemania;Dato base;2023;3;706069
Bélgica;Dato base;2023;3;154350
Estados Unidos de América;Dato base;2023;3;258508
Francia;Dato base;2023;3;600735
Irlanda;Dato base;2023;3;139160
Italia;Dato base;2023;3;315773
Países Bajos;Dato base;2023;3;239466
Países Nórdicos;Dato base;2023;3;385016
Portugal;Dato base;2023;3;172206
Reino Unido;Dato base;2023;3;1059681
Resto América;Dato base;2023;3;286173
Resto de Europa;Dato base;2023;3;546555
Resto del Mundo;Dato base;2023;3;285284
Rusia;Dato base;2023;3;
Suiza;Dato base;2023;3;98363
Alemania;Dato base;2023;4;1009178
Bélgica;Dato base;2023;4;247704
Estados Unidos de América;Dato base;2023;4;320471
Francia;Dato base;2023;4;1045941
Irlanda;Dato base;2023;4;217559
Italia;Dato base;2023;4;387229
Países Bajos;Dato base;2023;4;375048
Países Nórdicos;Dato base;2023;4;428941
Portugal;Dato base;2023;4;253568
Reino Unido;Dato base;2023;4;1350327
Resto América;Dato base;2023;4;388338
Resto de Europa;Dato base;2023;4;681565
Resto del Mundo;Dato base;2023;4;307189
Rusia;Dato base;2023;4;
Suiza;Dato base;2023;4;215036
Alemania;Dato base;2023;5;1124990
Bélgica;Dato base;2023;5;239007
Estados Unidos de América;Dato base;2023;5;435908
Francia;Dato base;2023;5;1149677
Irlanda;Dato base;2023;5;240605
Italia;Dato base;2023;5;422069
Países Bajos;Dato base;2023;5;436696
Países Nórdicos;Dato base;2023;5;337942
Portugal;Dato base;2023;5;177409
Reino Unido;Dato base;2023;5;1809842
Resto América;Dato base;2023;5;503571
Resto de Europa;Dato base;2023;5;729806
Resto del Mundo;Dato base;2023;5;506592
Rusia;Dato base;2023;5;
Suiza;Dato base;2023;5;186270
Alemania;Dato base;2023;6;1155935
Bélgica;Dato base;2023;6;202407
Estados Unidos de América;Dato base;2023;6;521113
Francia;Dato base;2023;6;909059
Irlanda;Dato base;2023;6;284136
Italia;Dato base;2023;6;428485
Países Bajos;Dato base;2023;6;388378
Países Nórdicos;Dato base;2023;6;394490
Portugal;Dato base;2023;6;244203
Reino Unido;Dato base;2023;6;1967965
Resto América;Dato base;2023;6;448636
Resto de Europa;Dato base;2023;6;714999
Resto del Mundo;Dato base;2023;6;465293
Rusia;Dato base;2023;6;
Suiza;Dato base;2023;6;182361
Alemania;Dato base;2023;7;1173471
Bélgica;Dato base;2023;7;456408
Estados Unidos de América;Dato base;2023;7;439762
Francia;Dato base;2023;7;1562150
Irlanda;Dato base;2023;7;299760
Italia;Dato base;2023;7;543476
Países Bajos;Dato base;2023;7;599314
Países Nórdicos;Dato base;2023;7;584483
Portugal;Dato base;2023;7;351766
Reino Unido;Dato base;2023;7;1998014
Resto América;Dato base;2023;7;491325
Resto de Europa;Dato base;2023;7;845067
Resto del Mundo;Dato base;2023;7;517020
Rusia;Dato base;2023;7;
Suiza;Dato base;2023;7;254900
Alemania;Dato base;2023;8;1181927
Bélgica;Dato base;2023;8;331671
Estados Unidos de América;Dato base;2023;8;292531
Francia;Dato base;2023;8;1974734
Irlanda;Dato base;2023;8;282528
Italia;Dato base;2023;8;742187
Países Bajos;Dato base;2023;8;555125
Países Nórdicos;Dato base;2023;8;330545
Portugal;Dato base;2023;8;460763
Reino Unido;Dato base;2023;8;2036999
Resto América;Dato base;2023;8;424393
Resto de Europa;Dato base;2023;8;835635
Resto del Mundo;Dato base;2023;8;526577
Rusia;Dato base;2023;8;
Suiza;Dato base;2023;8;210547
Alemania;Dato base;2023;9;1295042
Bélgica;Dato base;2023;9;280499
Estados Unidos de América;Dato base;2023;9;436934
Francia;Dato base;2023;9;958862
Irlanda;Dato base;2023;9;266490
Italia;Dato base;2023;9;431025
Países Bajos;Dato base;2023;9;472981
Países Nórdicos;Dato base;2023;9;405219
Portugal;Dato base;2023;9;281754
Reino Unido;Dato base;2023;9;1943531
Resto América;Dato base;2023;9;466313
Resto de Europa;Dato base;2023;9;791702
Resto del Mundo;Dato base;2023;9;554223
Rusia;Dato base;2023;9;
Suiza;Dato base;2023;9;210850
Alemania;Dato base;2023;10;1146363
Bélgica;Dato base;2023;10;234169
Estados Unidos de América;Dato base;2023;10;397746
Francia;Dato base;2023;10;995832
Irlanda;Dato base;2023;10;249985
Italia;Dato base;2023;10;404351
Países Bajos;Dato base;2023;10;430650
Países Nórdicos;Dato base;2023;10;505173
Portugal;Dato base;2023;10;174670
Reino Unido;Dato base;2023;10;1710770
Resto América;Dato base;2023;10;489176
Resto de Europa;Dato base;2023;10;712863
Resto del Mundo;Dato base;2023;10;497270
Rusia;Dato base;2023;10;
Suiza;Dato base;2023;10;238006
Alemania;Dato base;2023;11;623346
Bélgica;Dato base;2023;11;186593
Estados Unidos de América;Dato base;2023;11;241554
Francia;Dato base;2023;11;639773
Irlanda;Dato base;2023;11;145107
Italia;Dato base;2023;11;302456
Países Bajos;Dato base;2023;11;229622
Países Nórdicos;Dato base;2023;11;405135
Portugal;Dato base;2023;11;145035
Reino Unido;Dato base;2023;11;949322
Resto América;Dato base;2023;11;314840
Resto de Europa;Dato base;2023;11;535465
Resto del Mundo;Dato base;2023;11;311128
Rusia;Dato base;2023;11;
Suiza;Dato base;2023;11;106121
Alemania;Dato base;2023;12;561358
Bélgica;Dato base;2023;12;170177
Estados Unidos de América;Dato base;2023;12;219043
Francia;Dato base;2023;12;818968
Irlanda;Dato base;2023;12;124530
Italia;Dato base;2023;12;353227
Países Bajos;Dato base;2023;12;205546
Países Nórdicos;Dato base;2023;12;342953
Portugal;Dato base;2023;12;234831
Reino Unido;Dato base;2023;12;912563
Resto América;Dato base;2023;12;295809
Resto de Europa;Dato base;2023;12;522254
Resto del Mundo;Dato base;2023;12;334173
Rusia;Dato base;2023;12;
Suiza;Dato base;2023;12;113652
Alemania;Dato base;2024;1;551064
Bélgica;Dato base;2024;1;160027
Estados Unidos de América;Dato base;2024;1;176301
Francia;Dato base;2024;1;571720
Irlanda;Dato base;2024;1;146957
Italia;Dato base;2024;1;323793
Países Bajos;Dato base;2024;1;216467
Países Nórdicos;Dato base;2024;1;370480
Portugal;Dato base;2024;1;130530
Reino Unido;Dato base;2024;1;832977
Resto América;Dato base;2024;1;354564
Resto de Europa;Dato base;2024;1;538474
Resto del Mundo;Dato base;2024;1;290408
Rusia;Dato base;2024;1;
Suiza;Dato base;2024;1;111785
Alemania;Dato base;2024;2;592522
Bélgica;Dato base;2024;2;166964
Estados Unidos de América;Dato base;2024;2;164930
Francia;Dato base;2024;2;620585
Irlanda;Dato base;2024;2;133025
Italia;Dato base;2024;2;299732
Países Bajos;Dato base;2024;2;248738
Países Nórdicos;Dato base;2024;2;374406
Portugal;Dato base;2024;2;161938
Reino Unido;Dato base;2024;2;939504
Resto América;Dato base;2024;2;269900
Resto de Europa;Dato base;2024;2;573445
Resto del Mundo;Dato base;2024;2;379413
Rusia;Dato base;2024;2;
Suiza;Dato base;2024;2;88395
Alemania;Dato base;2024;3;909458
Bélgica;Dato base;2024;3;201251
Estados Unidos de América;Dato base;2024;3;286915
Francia;Dato base;2024;3;791050
Irlanda;Dato base;2024;3;168874
Italia;Dato base;2024;3;339758
Países Bajos;Dato base;2024;3;265940
Países Nórdicos;Dato base;2024;3;459625
Portugal;Dato base;2024;3;194328
Reino Unido;Dato base;2024;3;1198166
Resto América;Dato base;2024;3;334538
Resto de Europa;Dato base;2024;3;725686
Resto del Mundo;Dato base;2024;3;350898
Rusia;Dato base;2024;3;
Suiza;Dato base;2024;3;123985
Alemania;Dato base;2024;4;1136338
Bélgica;Dato base;2024;4;293255
Estados Unidos de América;Dato base;2024;4;355374
Francia;Dato base;2024;4;1134898
Irlanda;Dato base;2024;4;237994
Italia;Dato base;2024;4;456435
Países Bajos;Dato base;2024;4;393641
Países Nórdicos;Dato base;2024;4;401590
Portugal;Dato base;2024;4;217041
Reino Unido;Dato base;2024;4;1456673
Resto América;Dato base;2024;4;362264
Resto de Europa;Dato base;2024;4;770931
Resto del Mundo;Dato base;2024;4;352119
Rusia;Dato base;2024;4;
Suiza;Dato base;2024;4;215197
Alemania;Dato base;2024;5;1233336
Bélgica;Dato base;2024;5;256939
Estados Unidos de América;Dato base;2024;5;500718
Francia;Dato base;2024;5;1279345
Irlanda;Dato base;2024;5;290193
Italia;Dato base;2024;5;477792
Países Bajos;Dato base;2024;5;505310
Países Nórdicos;Dato base;2024;5;385531
Portugal;Dato base;2024;5;193070
Reino Unido;Dato base;2024;5;1913013
Resto América;Dato base;2024;5;536566
Resto de Europa;Dato base;2024;5;857770
Resto del Mundo;Dato base;2024;5;616416
Rusia;Dato base;2024;5;
Suiza;Dato base;2024;5;209987
Alemania;Dato base;2024;6;1136095
Bélgica;Dato base;2024;6;267049
Estados Unidos de América;Dato base;2024;6;570710
Francia;Dato base;2024;6;1010876
Irlanda;Dato base;2024;6;329600
Italia;Dato base;2024;6;513067
Países Bajos;Dato base;2024;6;477192
Países Nórdicos;Dato base;2024;6;437362
Portugal;Dato base;2024;6;293341
Reino Unido;Dato base;2024;6;2134301
Resto América;Dato base;2024;6;495862
Resto de Europa;Dato base;2024;6;852857
Resto del Mundo;Dato base;2024;6;570013
Rusia;Dato base;2024;6;
Suiza;Dato base;2024;6;211249
Alemania;Dato base;2024;7;1245154
Bélgica;Dato base;2024;7;501878
Estados Unidos de América;Dato base;2024;7;487448
Francia;Dato base;2024;7;1610659
Irlanda;Dato base;2024;7;312682
Italia;Dato base;2024;7;579117
Países Bajos;Dato base;2024;7;700249
Países Nórdicos;Dato base;2024;7;623715
Portugal;Dato base;2024;7;368977
Reino Unido;Dato base;2024;7;2056858
Resto América;Dato base;2024;7;524118
Resto de Europa;Dato base;2024;7;928598
Resto del Mundo;Dato base;2024;7;607795
Rusia;Dato base;2024;7;
Suiza;Dato base;2024;7;305099
Alemania;Dato base;2024;8;1241126
Bélgica;Dato base;2024;8;334731
Estados Unidos de América;Dato base;2024;8;369449
Francia;Dato base;2024;8;2131608
Irlanda;Dato base;2024;8;288305
Italia;Dato base;2024;8;798493
Países Bajos;Dato base;2024;8;581921
Países Nórdicos;Dato base;2024;8;324508
Portugal;Dato base;2024;8;526735
Reino Unido;Dato base;2024;8;2119112
Resto América;Dato base;2024;8;465353
Resto de Europa;Dato base;2024;8;945668
Resto del Mundo;Dato base;2024;8;604641
Rusia;Dato base;2024;8;
Suiza;Dato base;2024;8;197935
Alemania;Dato base;2024;9;1313851
Bélgica;Dato base;2024;9;315702
Estados Unidos de América;Dato base;2024;9;444619
Francia;Dato base;2024;9;1096509
Irlanda;Dato base;2024;9;295179
Italia;Dato base;2024;9;507225
Países Bajos;Dato base;2024;9;496045
Países Nórdicos;Dato base;2024;9;438162
Portugal;Dato base;2024;9;304904
Reino Unido;Dato base;2024;9;2042844
Resto América;Dato base;2024;9;560376
Resto de Europa;Dato base;2024;9;959072
Resto del Mundo;Dato base;2024;9;616542
Rusia;Dato base;2024;9;
Suiza;Dato base;2024;9;210986
Alemania;Dato base;2024;10;1305958
Bélgica;Dato base;2024;10;244066
Estados Unidos de América;Dato base;2024;10;424712
Francia;Dato base;2024;10;1152755
Irlanda;Dato base;2024;10;272216
Italia;Dato base;2024;10;456364
Países Bajos;Dato base;2024;10;427581
Países Nórdicos;Dato base;2024;10;553130
Portugal;Dato base;2024;10;191681
Reino Unido;Dato base;2024;10;1788802
Resto América;Dato base;2024;10;555032
Resto de Europa;Dato base;2024;10;814021
Resto del Mundo;Dato base;2024;10;538931
Rusia;Dato base;2024;10;
Suiza;Dato base;2024;10;236683
Alemania;Dato base;2024;11;650582
Bélgica;Dato base;2024;11;147961
Estados Unidos de América;Dato base;2024;11;271471
Francia;Dato base;2024;11;750972
Irlanda;Dato base;2024;11;148992
Italia;Dato base;2024;11;370049
Países Bajos;Dato base;2024;11;244882
Países Nórdicos;Dato base;2024;11;401750
Portugal;Dato base;2024;11;175924
Reino Unido;Dato base;2024;11;1000797
Resto América;Dato base;2024;11;399319
Resto de Europa;Dato base;2024;11;646641
Resto del Mundo;Dato base;2024;11;361516
Rusia;Dato base;2024;11;
Suiza;Dato base;2024;11;99363
Alemania;Dato base;2024;12;623545
Bélgica;Dato base;2024;12;170298
Estados Unidos de América;Dato base;2024;12;214290
Francia;Dato base;2024;12;772023
Irlanda;Dato base;2024;12;144479
Italia;Dato base;2024;12;375778
Países Bajos;Dato base;2024;12;227079
Países Nórdicos;Dato base;2024;12;355953
Portugal;Dato base;2024;12;225420
Reino Unido;Dato base;2024;12;899215
Resto América;Dato base;2024;12;304141
Resto de Europa;Dato base;2024;12;513108
Resto del Mundo;Dato base;2024;12;326662
Rusia;Dato base;2024;12;
Suiza;Dato base;2024;12;112386
